epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4167,0.68564,1.01364,0.93395,0.97624,0.95979,0.9795,0.87047,0.48487,0.60386,0.84738,0.000648148,0.000648148,0.000648148
2,29.8925,0.60083,0.51288,0.90047,0.95498,0.96674,0.98384,0.84728,0.54709,0.6583,0.86257,0.0013018,0.0013018,0.0013018
3,39.1122,0.61635,0.49866,0.90083,0.97306,0.96851,0.98692,0.83706,0.6106,0.60147,0.87606,0.00194225,0.00194225,0.00194225
4,47.598,0.60317,0.48237,0.90635,0.97936,0.97319,0.99178,0.86232,0.53606,0.60985,0.8708,0.0019406,0.0019406,0.0019406
5,55.7678,0.58094,0.42519,0.89753,0.95396,0.94444,0.97681,0.8285,0.58548,0.6147,0.87974,0.0019208,0.0019208,0.0019208
6,64.2813,0.56687,0.41987,0.88977,0.98378,0.97567,0.98745,0.86972,0.49942,0.38915,0.86173,0.001901,0.001901,0.001901
7,72.468,0.56227,0.41626,0.88654,0.97821,0.98123,0.99156,0.88692,0.44063,0.36384,0.83864,0.0018812,0.0018812,0.0018812
8,82.0547,0.54854,0.39031,0.88033,0.95977,0.95942,0.98584,0.8743,0.49017,0.42141,0.85214,0.0018614,0.0018614,0.0018614
9,90.3411,0.54019,0.38828,0.88927,0.98378,0.98391,0.99071,0.89524,0.42875,0.30981,0.8389,0.0018416,0.0018416,0.0018416
10,98.2575,0.51796,0.36926,0.87822,0.97699,0.96515,0.98868,0.89303,0.41533,0.37553,0.83689,0.0018218,0.0018218,0.0018218
11,104.588,0.5195,0.3651,0.88685,0.98123,0.98118,0.98768,0.90346,0.4087,0.29955,0.83015,0.001802,0.001802,0.001802
12,112.212,0.51647,0.35828,0.87537,0.96053,0.99196,0.98903,0.90536,0.41984,0.34728,0.83447,0.0017822,0.0017822,0.0017822
13,119.924,0.50102,0.35381,0.86617,0.97866,0.99196,0.992,0.91762,0.41432,0.29582,0.8335,0.0017624,0.0017624,0.0017624
14,127.472,0.48207,0.34269,0.86682,0.97748,0.9866,0.99041,0.91202,0.39242,0.30048,0.8269,0.0017426,0.0017426,0.0017426
15,139.075,0.48265,0.34646,0.86201,0.9831,0.9866,0.99336,0.90788,0.42223,0.33255,0.83469,0.0017228,0.0017228,0.0017228
16,150.201,0.49726,0.34498,0.86334,0.98136,0.98798,0.98854,0.90597,0.43468,0.30282,0.83489,0.001703,0.001703,0.001703
17,157.452,0.48775,0.33322,0.86458,0.99338,0.98391,0.99194,0.92482,0.38105,0.27263,0.82639,0.0016832,0.0016832,0.0016832
18,165.851,0.48033,0.33432,0.86932,0.98923,0.98536,0.9933,0.91665,0.39578,0.29521,0.82922,0.0016634,0.0016634,0.0016634
19,172.777,0.4702,0.33307,0.85875,0.99238,0.97855,0.99376,0.92548,0.38158,0.27081,0.82557,0.0016436,0.0016436,0.0016436
20,180.513,0.44025,0.31605,0.84532,0.9919,0.98516,0.99298,0.936,0.35249,0.25317,0.82536,0.0016238,0.0016238,0.0016238
21,188.707,0.44796,0.3202,0.85397,0.99178,0.99464,0.99279,0.92913,0.35816,0.26411,0.82453,0.001604,0.001604,0.001604
22,196.571,0.4542,0.32646,0.86419,0.99035,0.98928,0.99238,0.9298,0.37144,0.27068,0.82728,0.0015842,0.0015842,0.0015842
23,205.376,0.44255,0.31483,0.85668,0.971,0.98749,0.99355,0.92946,0.36734,0.27183,0.82358,0.0015644,0.0015644,0.0015644
24,213.78,0.43279,0.31405,0.84576,0.987,0.98391,0.99368,0.92355,0.39213,0.28647,0.82691,0.0015446,0.0015446,0.0015446
25,220.864,0.44054,0.30971,0.85545,0.99142,0.98928,0.99398,0.92691,0.37944,0.26189,0.8277,0.0015248,0.0015248,0.0015248
26,228.118,0.44159,0.31426,0.85641,0.9893,0.99131,0.9929,0.9405,0.34371,0.26633,0.82403,0.001505,0.001505,0.001505
27,239.438,0.44353,0.31049,0.85979,0.98998,0.98391,0.99374,0.91905,0.39947,0.27474,0.83015,0.0014852,0.0014852,0.0014852
28,252.53,0.45014,0.31048,0.85298,0.98486,0.98928,0.99283,0.93413,0.34962,0.26523,0.82017,0.0014654,0.0014654,0.0014654
29,264.943,0.42462,0.29871,0.84779,0.97999,0.99196,0.9918,0.94368,0.32656,0.25108,0.81604,0.0014456,0.0014456,0.0014456
30,277.768,0.42163,0.29533,0.84843,0.9879,0.98391,0.9932,0.93715,0.33771,0.25539,0.81866,0.0014258,0.0014258,0.0014258
31,285.681,0.4355,0.30301,0.8497,0.98634,0.9866,0.99301,0.95189,0.33293,0.24909,0.81939,0.001406,0.001406,0.001406
32,292.964,0.43077,0.30336,0.84712,0.97879,0.98968,0.9927,0.92958,0.37516,0.25931,0.8244,0.0013862,0.0013862,0.0013862
33,299.426,0.41229,0.29125,0.85282,0.98666,0.99181,0.99412,0.94966,0.3217,0.23365,0.81628,0.0013664,0.0013664,0.0013664
34,305.823,0.4097,0.28198,0.84939,0.98773,0.98928,0.99337,0.95159,0.30906,0.24062,0.81487,0.0013466,0.0013466,0.0013466
35,312.444,0.4088,0.28128,0.84635,0.99195,0.99117,0.99314,0.93811,0.35669,0.25256,0.8209,0.0013268,0.0013268,0.0013268
36,318.976,0.41376,0.28429,0.84395,0.98929,0.99078,0.99224,0.94253,0.32993,0.2392,0.8168,0.001307,0.001307,0.001307
37,325.385,0.40903,0.28472,0.85191,0.99099,0.98928,0.99364,0.95363,0.31499,0.22471,0.81616,0.0012872,0.0012872,0.0012872
38,332.295,0.40983,0.28553,0.84775,0.99145,0.99196,0.99386,0.93636,0.35366,0.24308,0.82216,0.0012674,0.0012674,0.0012674
39,338.746,0.40899,0.28225,0.83619,0.98928,0.99196,0.99254,0.95093,0.31426,0.2303,0.81135,0.0012476,0.0012476,0.0012476
40,345.316,0.39376,0.27711,0.84879,0.98636,0.99196,0.99309,0.94519,0.33024,0.22974,0.82069,0.0012278,0.0012278,0.0012278
41,351.779,0.38098,0.26787,0.8382,0.98673,0.98391,0.99294,0.94446,0.33284,0.23122,0.81749,0.001208,0.001208,0.001208
42,358.315,0.39258,0.27461,0.84047,0.98654,0.98279,0.99214,0.94392,0.30849,0.23675,0.81341,0.0011882,0.0011882,0.0011882
43,364.653,0.3953,0.27363,0.84501,0.9867,0.99446,0.9931,0.95384,0.31009,0.22723,0.81272,0.0011684,0.0011684,0.0011684
44,371.405,0.39739,0.27881,0.84336,0.98575,0.98928,0.99343,0.95025,0.3186,0.22934,0.81648,0.0011486,0.0011486,0.0011486
45,377.735,0.40134,0.2766,0.84538,0.99334,0.98928,0.99278,0.95232,0.31644,0.23035,0.81617,0.0011288,0.0011288,0.0011288
46,384.105,0.39097,0.27169,0.8322,0.99461,0.98876,0.99369,0.95013,0.32535,0.22409,0.81652,0.001109,0.001109,0.001109
47,390.584,0.38149,0.2656,0.83954,0.98985,0.98391,0.99371,0.95114,0.31082,0.23027,0.8129,0.0010892,0.0010892,0.0010892
48,396.972,0.38715,0.27104,0.83862,0.99635,0.9866,0.99433,0.94598,0.34406,0.22465,0.82046,0.0010694,0.0010694,0.0010694
49,403.915,0.38261,0.26491,0.83399,0.99241,0.9866,0.99383,0.95759,0.28838,0.21432,0.81064,0.0010496,0.0010496,0.0010496
50,415.676,0.37585,0.26345,0.83838,0.98658,0.99196,0.99273,0.93961,0.31831,0.22063,0.81404,0.0010298,0.0010298,0.0010298
51,429.511,0.37394,0.25907,0.83663,0.99435,0.98928,0.99336,0.95562,0.30444,0.21347,0.81093,0.00101,0.00101,0.00101
52,445.465,0.36379,0.26081,0.83525,0.99416,0.98391,0.99299,0.9545,0.30589,0.20946,0.81254,0.0009902,0.0009902,0.0009902
53,452.538,0.37201,0.25802,0.83522,0.99402,0.9866,0.99438,0.95443,0.30541,0.21571,0.81212,0.0009704,0.0009704,0.0009704
54,458.949,0.36978,0.26264,0.8394,0.99198,0.99425,0.99473,0.95543,0.31623,0.21226,0.81823,0.0009506,0.0009506,0.0009506
55,465.262,0.36074,0.25554,0.83139,0.9973,0.98882,0.99449,0.96177,0.29371,0.20281,0.81103,0.0009308,0.0009308,0.0009308
56,471.95,0.34875,0.24416,0.82833,0.99301,0.99196,0.99424,0.95317,0.29572,0.20638,0.81217,0.000911,0.000911,0.000911
57,478.463,0.34405,0.24064,0.82801,0.99191,0.98634,0.99349,0.95095,0.28306,0.20999,0.81151,0.0008912,0.0008912,0.0008912
58,484.829,0.35076,0.24628,0.83093,0.98629,0.98928,0.99373,0.95714,0.29985,0.21225,0.81309,0.0008714,0.0008714,0.0008714
59,491.218,0.36062,0.25118,0.83606,0.99102,0.98928,0.99272,0.95158,0.29215,0.20754,0.81205,0.0008516,0.0008516,0.0008516
60,497.635,0.35165,0.24767,0.83352,0.99362,0.9866,0.99357,0.95274,0.29515,0.20187,0.81157,0.0008318,0.0008318,0.0008318
61,504.174,0.35371,0.24636,0.83453,0.99458,0.98326,0.99356,0.96356,0.28482,0.20844,0.80925,0.000812,0.000812,0.000812
62,511.059,0.33774,0.23836,0.82233,0.99424,0.98391,0.99449,0.95954,0.28688,0.20585,0.80942,0.0007922,0.0007922,0.0007922
63,519.129,0.3519,0.24835,0.83237,0.98925,0.98723,0.99295,0.95679,0.30836,0.20864,0.81188,0.0007724,0.0007724,0.0007724
64,526.562,0.3417,0.24158,0.82284,0.99255,0.9866,0.99388,0.9608,0.29092,0.20727,0.81105,0.0007526,0.0007526,0.0007526
65,534.7,0.33633,0.23878,0.82798,0.99391,0.9866,0.9943,0.96826,0.27753,0.19682,0.80799,0.0007328,0.0007328,0.0007328
66,545.012,0.32684,0.23228,0.82603,0.99134,0.99464,0.99451,0.96222,0.28209,0.19891,0.80954,0.000713,0.000713,0.000713
67,553.645,0.32868,0.22985,0.82351,0.99192,0.98781,0.99451,0.96408,0.29003,0.20381,0.80969,0.0006932,0.0006932,0.0006932
68,561.591,0.32818,0.22961,0.82391,0.98848,0.99464,0.99465,0.96295,0.28085,0.19091,0.80551,0.0006734,0.0006734,0.0006734
69,568.226,0.32437,0.23166,0.82385,0.99193,0.98921,0.99474,0.96845,0.27679,0.19595,0.8052,0.0006536,0.0006536,0.0006536
70,575.979,0.33958,0.23433,0.83548,0.99687,0.9866,0.99471,0.9645,0.27876,0.19506,0.80879,0.0006338,0.0006338,0.0006338
71,582.432,0.32409,0.2318,0.82728,0.99398,0.98928,0.99473,0.95871,0.28905,0.19199,0.81015,0.000614,0.000614,0.000614
72,588.723,0.32913,0.23116,0.81918,0.99179,0.99196,0.99467,0.96171,0.27437,0.18701,0.80586,0.0005942,0.0005942,0.0005942
73,595.132,0.33137,0.23184,0.82999,0.99193,0.98907,0.99476,0.96038,0.28393,0.19073,0.80705,0.0005744,0.0005744,0.0005744
74,601.435,0.31585,0.22335,0.81862,0.99326,0.98928,0.99405,0.96699,0.28103,0.18817,0.80881,0.0005546,0.0005546,0.0005546
75,607.72,0.3186,0.22136,0.82426,0.98917,0.99196,0.99399,0.9687,0.27865,0.18678,0.80653,0.0005348,0.0005348,0.0005348
76,614.262,0.32211,0.22476,0.82203,0.99423,0.9866,0.99416,0.96585,0.27901,0.19067,0.80687,0.000515,0.000515,0.000515
77,620.634,0.31685,0.21969,0.81955,0.9942,0.98928,0.9946,0.96214,0.29137,0.18741,0.8096,0.0004952,0.0004952,0.0004952
78,626.921,0.32193,0.22397,0.81682,0.99729,0.98618,0.99444,0.96019,0.29771,0.18978,0.80873,0.0004754,0.0004754,0.0004754
79,633.259,0.30493,0.2131,0.82032,0.99453,0.9866,0.99421,0.95965,0.27685,0.18432,0.80661,0.0004556,0.0004556,0.0004556
80,639.684,0.30975,0.21398,0.82866,0.99611,0.98391,0.9937,0.96905,0.26821,0.18634,0.80415,0.0004358,0.0004358,0.0004358
81,646.305,0.30635,0.21224,0.82507,0.98892,0.99464,0.99376,0.95621,0.28945,0.18954,0.80852,0.000416,0.000416,0.000416
82,652.843,0.29902,0.20913,0.81863,0.99056,0.99196,0.99462,0.96178,0.28384,0.18115,0.80762,0.0003962,0.0003962,0.0003962
83,659.422,0.30566,0.21014,0.81459,0.9867,0.99423,0.99402,0.96591,0.27419,0.17697,0.8043,0.0003764,0.0003764,0.0003764
84,665.865,0.29481,0.20765,0.81769,0.98743,0.99196,0.99446,0.96667,0.26693,0.17555,0.80444,0.0003566,0.0003566,0.0003566
85,672.283,0.30287,0.21255,0.81606,0.99193,0.98873,0.99462,0.96665,0.27093,0.1787,0.80537,0.0003368,0.0003368,0.0003368
86,678.813,0.29612,0.21071,0.81984,0.99142,0.99196,0.99378,0.96797,0.26848,0.17494,0.80518,0.000317,0.000317,0.000317
87,685.263,0.29403,0.20621,0.81361,0.99197,0.99393,0.99356,0.96882,0.26179,0.17382,0.80337,0.0002972,0.0002972,0.0002972
88,691.558,0.29361,0.20458,0.82008,0.99138,0.99196,0.99372,0.9675,0.26733,0.17416,0.8053,0.0002774,0.0002774,0.0002774
89,697.853,0.29247,0.20529,0.82438,0.99196,0.99189,0.99427,0.9676,0.27433,0.17555,0.80655,0.0002576,0.0002576,0.0002576
90,704.344,0.28675,0.20059,0.81179,0.99175,0.99196,0.99435,0.97136,0.25971,0.16841,0.80457,0.0002378,0.0002378,0.0002378
91,731.152,0.24675,0.16922,0.79038,0.99188,0.99196,0.99416,0.96757,0.27517,0.17761,0.80566,0.000218,0.000218,0.000218
92,738.436,0.23831,0.16806,0.7848,0.99461,0.98918,0.99402,0.96997,0.27291,0.17335,0.80624,0.0001982,0.0001982,0.0001982
93,749.078,0.22883,0.16184,0.78368,0.9945,0.99196,0.99419,0.97302,0.26099,0.16857,0.80401,0.0001784,0.0001784,0.0001784
94,760.149,0.23006,0.16162,0.77768,0.99673,0.98391,0.99329,0.97266,0.25907,0.16629,0.80383,0.0001586,0.0001586,0.0001586
95,770.298,0.22605,0.16137,0.77706,0.99441,0.99196,0.99468,0.971,0.26753,0.16691,0.80588,0.0001388,0.0001388,0.0001388
96,776.418,0.22592,0.15759,0.77613,0.99462,0.99114,0.99468,0.97169,0.26523,0.16673,0.80461,0.000119,0.000119,0.000119
97,785.121,0.21524,0.15408,0.78036,0.99404,0.99196,0.99462,0.9726,0.25623,0.16453,0.80337,9.92e-05,9.92e-05,9.92e-05
98,795.491,0.21959,0.15376,0.77922,0.99418,0.99196,0.99449,0.97382,0.25845,0.16395,0.80379,7.94e-05,7.94e-05,7.94e-05
99,806.364,0.2162,0.15196,0.77501,0.9938,0.99196,0.99465,0.97276,0.25977,0.16371,0.80408,5.96e-05,5.96e-05,5.96e-05
100,817.042,0.2111,0.14946,0.77856,0.99461,0.98908,0.99457,0.97214,0.2589,0.16289,0.80348,3.98e-05,3.98e-05,3.98e-05
