epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1241,0.76188,2.25136,0.94674,0.90028,0.89551,0.92798,0.81961,0.5307,1.15812,0.8606,0.000648148,0.000648148,0.000648148
2,38.0123,0.66244,0.64936,0.91775,0.95019,0.92059,0.96701,0.82057,0.57796,0.56827,0.87596,0.00131467,0.00131467,0.00131467
3,51.3036,0.69007,0.55737,0.92594,0.5776,0.84718,0.5911,0.48877,0.64663,1.14036,0.90427,0.00198061,0.00198061,0.00198061
4,61.549,0.6873,0.5416,0.92125,0.92305,0.91153,0.94972,0.81574,0.55415,1.20784,0.87738,0.00199803,0.00199803,0.00199803
5,71.3856,0.64777,0.49205,0.91187,0.92251,0.90885,0.95705,0.80268,0.58156,0.99016,0.8894,0.0019965,0.0019965,0.0019965
6,80.1983,0.63011,0.47236,0.89685,0.93272,0.89198,0.95865,0.81973,0.56417,0.94763,0.88343,0.00199453,0.00199453,0.00199453
7,87.474,0.6205,0.4514,0.90823,0.97143,0.97855,0.99055,0.87254,0.50259,0.38953,0.85604,0.00199212,0.00199212,0.00199212
8,95.3853,0.62856,0.44799,0.90688,0.98362,0.96577,0.99298,0.89254,0.45514,0.35267,0.84188,0.00198928,0.00198928,0.00198928
9,103.774,0.60807,0.4262,0.89817,0.98032,0.96783,0.99157,0.89018,0.47807,0.35052,0.85397,0.00198601,0.00198601,0.00198601
10,110.742,0.58311,0.41941,0.89748,0.98377,0.97486,0.99119,0.89955,0.44331,0.35243,0.84188,0.0019823,0.0019823,0.0019823
11,118.107,0.58521,0.41947,0.89542,0.98131,0.97587,0.98815,0.88223,0.46027,0.40126,0.84908,0.00197817,0.00197817,0.00197817
12,125.486,0.56392,0.40736,0.89098,0.98551,0.98928,0.99147,0.89906,0.42171,0.40037,0.84022,0.00197361,0.00197361,0.00197361
13,132.711,0.56679,0.41155,0.885,0.97675,0.95442,0.98607,0.89927,0.42077,0.40368,0.84007,0.00196861,0.00196861,0.00196861
14,140.05,0.55903,0.39414,0.88069,0.99455,0.97775,0.99038,0.90083,0.40313,0.35222,0.83232,0.0019632,0.0019632,0.0019632
15,147.562,0.54891,0.39001,0.87207,0.98378,0.97568,0.99253,0.90226,0.4273,0.313,0.84081,0.00195736,0.00195736,0.00195736
16,155.251,0.549,0.38249,0.88245,0.98832,0.98391,0.99311,0.90427,0.4254,0.30849,0.84179,0.00195111,0.00195111,0.00195111
17,162.769,0.51793,0.37129,0.87402,0.9891,0.97855,0.99313,0.92114,0.40082,0.29649,0.83286,0.00194443,0.00194443,0.00194443
18,170.27,0.51908,0.37051,0.87979,0.98656,0.9839,0.99436,0.92016,0.37748,0.29084,0.83059,0.00193734,0.00193734,0.00193734
19,177.666,0.50261,0.35308,0.86877,0.98395,0.9864,0.99402,0.91441,0.37827,0.30091,0.82891,0.00192985,0.00192985,0.00192985
