epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.923,1.0467,2.04033,1.03425,0.82037,0.96515,0.86151,0.634,0.94205,1.11932,0.94564,0.0679167,0.000324074,0.000324074
2,33.4133,0.89907,0.57377,0.99426,0.98225,0.97051,0.9913,0.78268,0.81793,0.68397,0.91202,0.0349165,0.000657247,0.000657247
3,46.386,0.869,0.54494,0.98549,0.90972,0.87399,0.94387,0.72563,0.79051,1.12133,0.90653,0.0019157,0.000989773,0.000989773
4,55.0264,0.86875,0.54619,0.97254,0.61599,0.82306,0.67479,0.53429,0.70352,1.57016,0.92178,0.000997803,0.000997803,0.000997803
5,62.6568,0.85527,0.49484,0.97389,0.98045,0.94114,0.9841,0.80144,0.68031,0.43752,0.88183,0.000996097,0.000996097,0.000996097
6,70.5747,0.82912,0.47971,0.96267,0.97356,0.97587,0.99273,0.84071,0.64215,0.39553,0.87956,0.000993906,0.000993906,0.000993906
7,78.4601,0.85105,0.49044,0.97676,0.97848,0.9751,0.99225,0.8511,0.64752,0.40314,0.88101,0.000991232,0.000991232,0.000991232
8,86.3012,0.83885,0.49617,0.96385,0.98119,0.97319,0.98803,0.84966,0.60302,0.40875,0.87263,0.000988079,0.000988079,0.000988079
9,93.7999,0.82962,0.48229,0.96311,0.98817,0.97587,0.98915,0.82755,0.64519,0.3989,0.88149,0.000984449,0.000984449,0.000984449
10,101.252,0.79765,0.46801,0.95768,0.98989,0.96783,0.99273,0.83807,0.6191,0.41924,0.87365,0.000980345,0.000980345,0.000980345
11,108.719,0.81194,0.45412,0.96169,0.98969,0.9866,0.99466,0.84843,0.61932,0.35976,0.8729,0.000975773,0.000975773,0.000975773
12,116.323,0.82321,0.4546,0.96174,0.98921,0.98357,0.99151,0.8212,0.70217,0.38365,0.89156,0.000970736,0.000970736,0.000970736
13,123.907,0.7778,0.43809,0.94833,0.99725,0.97185,0.99344,0.84816,0.6521,0.36899,0.877,0.000965239,0.000965239,0.000965239
14,131.569,0.81702,0.44663,0.95736,0.99134,0.99196,0.99492,0.8361,0.68996,0.35877,0.88683,0.000959289,0.000959289,0.000959289
15,139.091,0.80448,0.45436,0.95019,0.99414,0.97051,0.99414,0.83473,0.702,0.38799,0.89303,0.000952889,0.000952889,0.000952889
16,147.908,0.79028,0.44633,0.94094,0.99431,0.98391,0.99471,0.8246,0.7226,0.3631,0.89304,0.000946048,0.000946048,0.000946048
17,155.521,0.78792,0.4331,0.9472,0.99727,0.98029,0.99452,0.82033,0.74965,0.36709,0.895,0.000938772,0.000938772,0.000938772
18,163.104,0.76416,0.43281,0.94346,0.99459,0.98609,0.99471,0.86014,0.58422,0.34089,0.86083,0.000931067,0.000931067,0.000931067
19,171.037,0.75926,0.41265,0.93595,0.99147,0.98123,0.99405,0.86496,0.56785,0.33222,0.86266,0.000922942,0.000922942,0.000922942
20,178.716,0.74686,0.41847,0.93085,0.99812,0.98391,0.99474,0.88346,0.50225,0.32799,0.84772,0.000914405,0.000914405,0.000914405
21,186.388,0.76925,0.42245,0.95172,0.9973,0.99177,0.99495,0.87325,0.55781,0.3227,0.85574,0.000905463,0.000905463,0.000905463
22,194.056,0.74546,0.40974,0.9399,0.99191,0.98928,0.99484,0.8749,0.56087,0.32179,0.8554,0.000896127,0.000896127,0.000896127
23,201.744,0.76899,0.42391,0.94648,0.99732,0.98928,0.99461,0.8687,0.59486,0.33319,0.86463,0.000886404,0.000886404,0.000886404
24,209.165,0.76285,0.4204,0.94357,0.99183,0.98928,0.9943,0.8677,0.57779,0.31274,0.86205,0.000876305,0.000876305,0.000876305
25,217,0.76383,0.41574,0.94583,0.9942,0.99196,0.99486,0.83435,0.6624,0.32668,0.8722,0.000865839,0.000865839,0.000865839
26,224.541,0.74128,0.39652,0.93064,0.99195,0.99155,0.99489,0.84331,0.61582,0.34601,0.87382,0.000855018,0.000855018,0.000855018
27,232.335,0.743,0.40539,0.93527,0.99456,0.9866,0.99489,0.86801,0.55306,0.31252,0.85521,0.000843851,0.000843851,0.000843851
28,239.714,0.72896,0.40039,0.93335,0.99521,0.9866,0.99489,0.86827,0.58073,0.31363,0.85805,0.000832349,0.000832349,0.000832349
29,247.123,0.73448,0.40433,0.9383,0.9993,0.98123,0.99418,0.83551,0.67164,0.33904,0.87924,0.000820525,0.000820525,0.000820525
30,254.761,0.74209,0.40011,0.93822,0.99675,0.98391,0.99466,0.85883,0.61094,0.32188,0.87164,0.000808389,0.000808389,0.000808389
31,262.389,0.74116,0.3974,0.93215,0.99728,0.98137,0.99474,0.852,0.59433,0.32722,0.86055,0.000795954,0.000795954,0.000795954
32,269.892,0.72505,0.39746,0.92595,0.99185,0.97931,0.99182,0.86985,0.55591,0.31313,0.86546,0.000783231,0.000783231,0.000783231
33,277.526,0.7278,0.3927,0.92464,0.99459,0.98559,0.99413,0.87379,0.56387,0.31619,0.85991,0.000770234,0.000770234,0.000770234
34,285.027,0.72463,0.39433,0.92638,0.99457,0.98199,0.99413,0.87835,0.52685,0.30669,0.85179,0.000756976,0.000756976,0.000756976
35,292.5,0.70697,0.38751,0.91891,0.99457,0.9866,0.99489,0.88258,0.51373,0.29767,0.84945,0.000743468,0.000743468,0.000743468
36,299.926,0.72486,0.39075,0.92851,0.9893,0.99191,0.99487,0.85378,0.61674,0.32447,0.86606,0.000729725,0.000729725,0.000729725
37,307.426,0.71091,0.38827,0.92449,0.99728,0.9821,0.99487,0.87096,0.53228,0.31911,0.85157,0.000715761,0.000715761,0.000715761
38,314.942,0.69326,0.37196,0.92256,0.99294,0.98928,0.99476,0.88899,0.51631,0.29877,0.84649,0.000701588,0.000701588,0.000701588
39,322.812,0.71116,0.37745,0.91915,0.99853,0.98123,0.99414,0.90515,0.46407,0.28572,0.84069,0.000687222,0.000687222,0.000687222
40,330.703,0.70422,0.37914,0.92888,1,0.98005,0.994,0.88435,0.52348,0.29541,0.85228,0.000672675,0.000672675,0.000672675
41,338.4,0.70107,0.37764,0.91485,0.99728,0.98328,0.99293,0.88399,0.52186,0.30076,0.85616,0.000657963,0.000657963,0.000657963
42,345.804,0.69627,0.36928,0.91405,0.99644,0.9866,0.99434,0.88078,0.55182,0.29995,0.85202,0.000643101,0.000643101,0.000643101
43,353.312,0.67703,0.36495,0.90436,0.99388,0.98928,0.99487,0.88021,0.54697,0.29545,0.8499,0.000628101,0.000628101,0.000628101
44,360.826,0.68012,0.36392,0.91103,0.98667,0.99193,0.99454,0.90447,0.43651,0.27946,0.83109,0.000612981,0.000612981,0.000612981
45,368.329,0.69072,0.36247,0.91604,0.99658,0.99196,0.99497,0.90122,0.47084,0.27257,0.83785,0.000597754,0.000597754,0.000597754
46,375.925,0.69102,0.36279,0.91138,0.9973,0.98888,0.99487,0.90589,0.45068,0.2704,0.83385,0.000582435,0.000582435,0.000582435
47,383.783,0.69658,0.35582,0.90781,0.99824,0.99196,0.995,0.90993,0.43999,0.26735,0.83521,0.00056704,0.00056704,0.00056704
48,391.61,0.69694,0.35293,0.91378,0.99698,0.99196,0.99495,0.88681,0.51633,0.27464,0.84956,0.000551584,0.000551584,0.000551584
49,399.123,0.69005,0.35063,0.91458,0.9969,0.99196,0.99497,0.89243,0.51537,0.27518,0.83959,0.000536081,0.000536081,0.000536081
50,406.763,0.6793,0.35079,0.91114,0.99464,0.99409,0.99495,0.89197,0.50327,0.27072,0.83902,0.000520548,0.000520548,0.000520548
51,414.334,0.67874,0.35518,0.90893,0.99754,0.99196,0.995,0.90179,0.46261,0.25887,0.83671,0.000505,0.000505,0.000505
52,421.961,0.66501,0.34493,0.9042,0.99428,0.98928,0.99403,0.89626,0.46557,0.25782,0.8345,0.000489452,0.000489452,0.000489452
53,429.661,0.66714,0.3516,0.90949,0.98836,0.99196,0.99457,0.91327,0.42399,0.25627,0.82644,0.000473919,0.000473919,0.000473919
54,437.569,0.65909,0.34575,0.89638,1,0.98115,0.99489,0.89411,0.50347,0.265,0.84064,0.000458416,0.000458416,0.000458416
55,445.104,0.66386,0.34796,0.91463,0.99461,0.98907,0.99446,0.90454,0.46483,0.25907,0.83453,0.00044296,0.00044296,0.00044296
56,452.748,0.661,0.3403,0.90685,0.99459,0.98612,0.99337,0.90912,0.43012,0.25515,0.82936,0.000427565,0.000427565,0.000427565
57,460.121,0.64846,0.34625,0.90158,0.99722,0.98928,0.99454,0.91519,0.43236,0.25811,0.83125,0.000412246,0.000412246,0.000412246
58,467.908,0.64558,0.33691,0.89213,0.99667,0.98928,0.99451,0.90797,0.44797,0.25638,0.83613,0.000397019,0.000397019,0.000397019
59,475.708,0.65616,0.33583,0.90888,0.99643,0.9866,0.99455,0.91228,0.4366,0.25398,0.83063,0.000381899,0.000381899,0.000381899
60,483.1,0.64812,0.33636,0.89672,0.99579,0.9866,0.99371,0.91292,0.43951,0.25029,0.83133,0.000366899,0.000366899,0.000366899
61,490.529,0.65353,0.32951,0.90372,0.99729,0.98625,0.99321,0.88206,0.54518,0.26871,0.85111,0.000352037,0.000352037,0.000352037
62,498.264,0.65938,0.33088,0.89877,0.99435,0.9866,0.99422,0.9101,0.43999,0.24655,0.8281,0.000337325,0.000337325,0.000337325
63,506.1,0.64409,0.33778,0.89942,1,0.98617,0.99489,0.89622,0.49237,0.25362,0.8377,0.000322778,0.000322778,0.000322778
